signal_id,order_id,session_id,customer_id,signal_type,severity,detected_at,evidence_summary,auto_action_taken,review_required,review_status,assigned_queue,notes
RSK-0001,ORD-2026-0002,SES-MOCK-0002,CUS-0002,empty_box_claim,high,2026-03-09T05:00:00,empty_box_claim 触发于 mock 订单 ORD-2026-0002，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0002,ORD-2026-0008,SES-MOCK-0008,CUS-0008,duplicate_refund,high,2026-03-13T17:00:00,duplicate_refund 触发于 mock 订单 ORD-2026-0008，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0003,ORD-2026-0016,SES-MOCK-0016,CUS-0016,timeline_manipulation,high,2026-03-19T17:00:00,timeline_manipulation 触发于 mock 订单 ORD-2026-0016，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0004,ORD-2026-0021,SES-MOCK-0021,CUS-0021,address_cluster,high,2026-03-23T11:00:00,address_cluster 触发于 mock 订单 ORD-2026-0021，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0005,ORD-2026-0030,SES-MOCK-0030,CUS-0030,screenshot_pressure,high,2026-03-30T05:00:00,screenshot_pressure 触发于 mock 订单 ORD-2026-0030，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0006,ORD-2026-0039,SES-MOCK-0039,CUS-0039,serial_number_mismatch,high,2026-04-05T23:00:00,serial_number_mismatch 触发于 mock 订单 ORD-2026-0039，用于展示风控联动。,block_compensation_below_l2,true,pending,risk_control,用于 mock 风控台和 route_trace 演示
RSK-0007,ORD-2026-0051,SES-MOCK-0051,CUS-0009,high_value_repeat_damage,medium,2026-04-14T23:00:00,high_value_repeat_damage 触发于 mock 订单 ORD-2026-0051，用于展示风控联动。,mark_for_review,true,pending,l2_supervisor,用于 mock 风控台和 route_trace 演示
RSK-0008,ORD-2026-0064,SES-MOCK-0064,CUS-0022,coupon_abuse,medium,2026-04-24T17:00:00,coupon_abuse 触发于 mock 订单 ORD-2026-0064，用于展示风控联动。,mark_for_review,true,pending,l2_supervisor,用于 mock 风控台和 route_trace 演示
RSK-0009,ORD-2026-0081,SES-MOCK-0081,CUS-0039,manual_override_request,medium,2026-05-07T11:00:00,manual_override_request 触发于 mock 订单 ORD-2026-0081，用于展示风控联动。,mark_for_review,true,pending,l2_supervisor,用于 mock 风控台和 route_trace 演示
RSK-0010,ORD-2026-0096,SES-MOCK-0096,CUS-0012,multi_account_claim,medium,2026-05-18T17:00:00,multi_account_claim 触发于 mock 订单 ORD-2026-0096，用于展示风控联动。,mark_for_review,true,pending,l2_supervisor,用于 mock 风控台和 route_trace 演示
